# generated by scripts/build_brief_pack.py (cc_tasks/2026-09-22_brief_material_pack_v2.md); framework record at commit 9ffcffddbf8f (framework/ai_readiness_framework.json, generated_from docs/crosswalk/usafacts_operationalization_skeleton.md); cycle of record scan_2026-09-10_rj4. Do not edit: re-run the generator.
indicator,doc_id,doc_type (manifest),screening,pinpoint_locator,locator (evidence cell)
A8,omb-m-23-22-digital-first-public-experience,federal,included,yes,"indicate timeliness of content: agencies ""should indicate when content on static, public-facing websites was created or last updated by including temporal information in line with content or by using 'Last Modified' in the HTTP header, in metadata tags, or in XML sitemaps"""
A8,w3c-dwbp-2017,standard,included,yes,"BP 7, provide a version indicator: ""assign and indicate a version number or date for each dataset"", whose intended outcome is that ""humans and software agents will easily be able to determine which version of a dataset they are working with"" and whose implementation note is that ""the URI used to request the latest version of the data should not change as the versions change"", which is the latest-vintage pointer; and BP 21, provide data up to date: ""make data available in an up-to-date manner, and make the update frequency explicit"""
A9,wilkinson-2016-fair-guiding-principles,academic,included,no,
A10,w3c-dwbp-2017,standard,included,yes,"BP 9, persistent URIs as identifiers of datasets: ""developers may build URIs into their code and so it is important that those URIs persist and that they dereference to the same resource over time""; and BP 27, preserve identifiers: a dereference that leads to ""the infamous 404"" must tell the client whether the absence is permanent or temporary, which is the property a soft-404 destroys"
A10,wilkinson-2016-fair-guiding-principles,academic,included,yes,F1: globally unique and persistent identifier; A2: metadata accessible even when the data are no longer available
A11,cloudflare-ai-crawl-control-manage-crawlers,industry,included,no,
A11,rfc-9309-robots-exclusion-protocol,standard,included,no,
A12,cloudflare-ai-crawl-control-manage-crawlers,industry,included,yes,the enforcing layer this indicator detects from outside
A12,rfc-9309-robots-exclusion-protocol,standard,included,yes,the declared layer's semantics
B1,fcsm-25-03,federal,included,no,
B2,schema-org-definedterm,standard,included,no,
B2,w3c-dcat-3,standard,included,no,
B3,bing-webmaster-guidelines,industry,included,yes,"section 8, allow efficient crawling and rendering, which lists ""hiding critical content behind client-side rendering"" among the things to avoid and states that ""content that cannot be reliably rendered may not be indexed or selected for grounding results"", which is the served-without-script-execution half"
B3,omb-m-23-22-digital-first-public-experience,federal,included,yes,"default to HTML: agencies ""should default to creating and publishing content in an HTML format in lieu of publishing content in other electronic document formats that are designed for printing or preserving and protecting the content and layout of the document e.g. PDF and DOCX formats"", and ""an agency should develop online content in a non-HTML format only if necessitated by a specific user need"", which is the structured-text, not-PDF-only half"
B3,w3c-dwbp-2017,standard,included,yes,"BP 5, provide data provenance information, intended outcome ""software agents will be able to automatically process provenance information""; and BP 6, provide data quality information, intended outcome ""humans and software agents will be able to assess the quality and therefore suitability of a dataset for their application"" - why a methodology statement has to be machine-processable rather than merely published"
B4,fcsm-20-04-a-framework-for-data-quality,federal,included,no,
B4,fcsm-23-02-a-framework-for-data-quality-case-studies,federal,included,no,
C1,from-accuracy-to-readiness-metrics-and-benchmarks-for-human,academic,included,no,
C4,aggarwal-2024-geo-generative-engine-optimization,academic,included,no,
C4,chen-2025-geo-how-to-dominate-ai-search,academic,included,no,
C5,aidrin-2-0-a-framework-to-assess-data-readiness-for-ai,academic,included,no,
C5,aidrin-hiniduma-2024,academic,included,no,
C5,data-readiness-for-ai-a-360-degree-survey,academic,included,no,
D3,w3c-prov-dm-data-model,standard,included,yes,"the PROV data model: ""Generation is the completion of production of a new entity by an activity."""
D3,w3c-prov-o-ontology,standard,included,yes,"its OWL encoding, whose starting-point terms include prov:wasGeneratedBy and prov:wasDerivedFrom: ""By expressing usage and generation, one can construct provenance chains comprising both Activities and Entities."""
D4,dcat-us-1-1-schema,federal,included,yes,"that metadata schema, which states the listing requirement on its face: ""guidance to support the use of the Project Open Data metadata to list agency datasets and application programming interfaces as hosted at agency.gov/data"", and ""the catalog file for each agency should list all of the agency's datasets that can be made public, regardless of whether they are distributed by a file download or a Web API""; its Catalog fields section describes ""the entire Public Data Listing catalog file"""
D4,foundations-for-evidence-based-policymaking-act-of-2018-evid,federal,included,yes,"Title II, the OPEN Government Data Act, enacting 44 U.S.C. 3511: subsection a paragraph 1 requires each agency to ""develop and maintain a comprehensive data inventory that accounts for all data assets created by, collected by, under the control or direction of, or maintained by the agency""; subsection a paragraph 3 requires that inventory updated ""not later than 90 days"" after a data asset is created or identified; subsection b requires public data assets be submitted ""for inclusion in the Federal data catalogue""; subsection c paragraph 1 makes that catalogue ""a single public interface online as a point of entry"""
D4,m-25-05-phase-2-implementation-of-the-evidence-act-open-gove,federal,included,yes,"section 4a iii, public dissemination: agencies ""must submit their comprehensive data inventory to the Federal Data Catalog as a data asset"" and ""host it publicly on the agency's website at the address: www.agency.gov/data.json"", repeated at section 5b ii with the OMB-approved metadata schema"
E1,nist-ai-risk-management-framework-ai-rmf,federal,included,no,
E2,nist-ai-rmf-playbook,federal,included,no,
E4,sainz-2023-llm-data-contamination,academic,included,no,
E8,webb-2026-state-fidelity-validity,academic,included,no,
E9,nist-ai-risk-management-framework-ai-rmf,federal,included,no,
E9,nist-generative-ai-profile-ai-600-1,federal,included,no,
F1,odcs-open-data-contract-standard,standard,included,no,
F2,odcs-open-data-contract-standard,standard,included,no,
F4,usafacts-ai-ready-data-guide,practitioner,included,no,
F6,slsa-specification-v1-0,standard,included,no,
G1-D,bls-employment-situation-2026-05-news-release-archive,federal,included,no,
G1-D,bls-employment-situation-2026-08-news-release,federal,included,no,
G1-D,cao-2024-multimodal-long-form-summarization-financial-reports,academic,included,no,
G1-D,census-2020-disclosure-avoidance-handbook-2021,federal,included,no,
G1-D,census-acs-data-suppression-rules,federal,included,no,
G1-D,census-acs-general-handbook-2020,federal,included,no,
G1-D,census-api-acs5-2023-b19013-counties-colorado,federal,included,no,
G1-D,census-api-acs5-2023-b19013-counties-idaho,federal,included,no,
G1-D,census-api-dec2020-dhc-p1-counties-colorado,federal,included,no,
G1-D,census-quickfacts-denver-county-colorado,federal,included,no,
G1-D,census-quickfacts-denver-county-colorado-csv,federal,included,no,
G1-D,du-2026-possible-or-definite,academic,included,no,
G1-D,ebu-bbc-2025-news-integrity-ai-assistants,practitioner,included,no,
G1-D,fcsm-23-02-a-framework-for-data-quality-case-studies,federal,included,no,
G1-D,lee-2026-when-summaries-distort-decisions,academic,included,no,
G1-D,manski-2015-communicating-uncertainty-official-economic-statistics,academic,included,no,
G1-D,mazzi-2021-measuring-communicating-uncertainty-official-economic-statistics,academic,included,no,
G1-D,min-2023-factscore,academic,included,no,
G1-D,nchs-2017-data-presentation-standards-proportions,federal,included,no,
G1-D,nchs-2023-data-presentation-standards-rates-counts,federal,included,no,
G1-D,nchs-data-brief-500-dental-visits-adults-65-2022,federal,included,no,
G1-D,nchs-data-brief-515-high-total-cholesterol-2021-2023,federal,included,no,
G1-D,nchs-data-brief-530-perinatal-mortality-2022-2023,federal,included,no,
G1-D,ons-uncertainty-and-how-we-measure-it,federal,included,no,
G1-D,peters-2025-generalization-bias-llm-summarization,academic,included,no,
G1-D,radhakrishnan-2024-knowing-when-to-ask-data-commons,academic,included,no,
G1-D,statcan-13-10-0096-01-cchs-2022-provinces-percent-ci-csv,federal,included,no,
G1-D,statcan-13-10-0096-01-cube-metadata-csv,federal,included,no,
G1-D,statcan-13-10-0113-01-cchs-2021-2022-quebec-health-regions-percent-ci-csv,federal,included,no,
G1-D,statcan-13-10-0113-01-cube-metadata-csv,federal,included,no,
G1-D,statcan-14-10-0287-01-cube-metadata-csv,federal,included,no,
G1-D,statcan-14-10-0287-01-lfs-2025-12-provinces-estimate-se-csv,federal,included,no,
G1-D,statcan-14-10-0287-01-lfs-2026-07-provinces-estimate-se-csv,federal,included,no,
G1-D,statcan-71-543-g-guide-labour-force-survey-2025,federal,included,no,
G1-D,statcan-quality-guidelines-6th-edition,federal,included,no,
G1-D,suleymanli-2025-llms-charts-official-statistics,academic,included,no,
G1-D,van-der-bles-2019-communicating-uncertainty,academic,included,no,
G1-D,venktesh-2024-quantemp-numerical-claims,academic,included,no,
G1-D,zhao-2020-reducing-quantity-hallucinations,academic,included,no,
G1-D,zhou-2026-loomsum-table-grounded-faithfulness,academic,included,no,
G1-O,bls-employment-situation-2026-05-news-release-archive,federal,included,no,
G1-O,bls-employment-situation-2026-08-news-release,federal,included,no,
G1-O,cao-2024-multimodal-long-form-summarization-financial-reports,academic,included,no,
G1-O,census-2020-disclosure-avoidance-handbook-2021,federal,included,no,
G1-O,census-acs-data-suppression-rules,federal,included,no,
G1-O,census-acs-general-handbook-2020,federal,included,no,
G1-O,census-api-acs5-2023-b19013-counties-colorado,federal,included,no,
G1-O,census-api-acs5-2023-b19013-counties-idaho,federal,included,no,
G1-O,census-api-dec2020-dhc-p1-counties-colorado,federal,included,no,
G1-O,census-quickfacts-denver-county-colorado,federal,included,no,
G1-O,census-quickfacts-denver-county-colorado-csv,federal,included,no,
G1-O,du-2026-possible-or-definite,academic,included,no,
G1-O,ebu-bbc-2025-news-integrity-ai-assistants,practitioner,included,no,
G1-O,fcsm-23-02-a-framework-for-data-quality-case-studies,federal,included,no,
G1-O,lee-2026-when-summaries-distort-decisions,academic,included,no,
G1-O,manski-2015-communicating-uncertainty-official-economic-statistics,academic,included,no,
G1-O,mazzi-2021-measuring-communicating-uncertainty-official-economic-statistics,academic,included,no,
G1-O,min-2023-factscore,academic,included,no,
G1-O,nchs-2017-data-presentation-standards-proportions,federal,included,no,
G1-O,nchs-2023-data-presentation-standards-rates-counts,federal,included,no,
G1-O,nchs-data-brief-500-dental-visits-adults-65-2022,federal,included,no,
G1-O,nchs-data-brief-515-high-total-cholesterol-2021-2023,federal,included,no,
G1-O,nchs-data-brief-530-perinatal-mortality-2022-2023,federal,included,no,
G1-O,ons-uncertainty-and-how-we-measure-it,federal,included,no,
G1-O,peters-2025-generalization-bias-llm-summarization,academic,included,no,
G1-O,radhakrishnan-2024-knowing-when-to-ask-data-commons,academic,included,no,
G1-O,statcan-13-10-0096-01-cchs-2022-provinces-percent-ci-csv,federal,included,no,
G1-O,statcan-13-10-0096-01-cube-metadata-csv,federal,included,no,
G1-O,statcan-13-10-0113-01-cchs-2021-2022-quebec-health-regions-percent-ci-csv,federal,included,no,
G1-O,statcan-13-10-0113-01-cube-metadata-csv,federal,included,no,
G1-O,statcan-14-10-0287-01-cube-metadata-csv,federal,included,no,
G1-O,statcan-14-10-0287-01-lfs-2025-12-provinces-estimate-se-csv,federal,included,no,
G1-O,statcan-14-10-0287-01-lfs-2026-07-provinces-estimate-se-csv,federal,included,no,
G1-O,statcan-71-543-g-guide-labour-force-survey-2025,federal,included,no,
G1-O,statcan-quality-guidelines-6th-edition,federal,included,no,
G1-O,suleymanli-2025-llms-charts-official-statistics,academic,included,no,
G1-O,van-der-bles-2019-communicating-uncertainty,academic,included,no,
G1-O,venktesh-2024-quantemp-numerical-claims,academic,included,no,
G1-O,zhao-2020-reducing-quantity-hallucinations,academic,included,no,
G1-O,zhou-2026-loomsum-table-grounded-faithfulness,academic,included,no,
G4,dcat-us-1-1-schema,federal,included,yes,"Dataset Required Fields and the field definitions, which support the issuing-authority clause and define the fields RULE-G4-v1 tests: Publisher, ""The publishing entity and optionally their parent organization(s).""; bureauCode, required ""Yes, for United States Federal Government agencies"", ""Represent each bureau responsible for the dataset according to the codes found in OMB Circular A-11, Appendix C""; programCode, ""Provide an array of programs related to this data asset"""
G4,dcat-us-3-dataset-schema,standard,included,yes,"Dataset, publisher, Mandatory, for the issuing-authority clause: ""Organization responsible for publishing and making the dataset available"""
G4,dcat-us-3-overview,standard,included,yes,"Changes from v1.1, Fields not in the v3.0 core schema, on the bureau and program codes RULE-G4-v1 tests: ""The following fields were introduced in v1.1 specifically for U.S. federal agencies. They are not defined in the v3.0 core schema however the v3.0 schema will not reject records that include them."""
G4,schema-org-dataset,standard,included,yes,"sourceOrganization, for the issuing-authority clause: ""The Organization on whose behalf the creator was working."""
G4,w3c-dcat-3,standard,included,yes,"§6.4.10 Property: publisher, dcterms:publisher, for the issuing-authority clause: ""The entity responsible for making the resource available."""
G4,w3c-prov-o-ontology,standard,included,yes,"prov:wasAttributedTo, the issuing-authority clause as a provenance relation: ""Attribution is the ascribing of an entity to an agent."""
G5,usafacts-ai-ready-data-guide,practitioner,included,no,
G6,odcs-open-data-contract-standard,standard,included,no,
G6,sdmx-3-0-section-1-framework,standard,included,no,
G6,sdmx-standards-overview,standard,included,no,
