# generated by scripts/build_brief_pack.py (cc_tasks/2026-09-22_brief_material_pack_v2.md); framework record at commit 9ffcffddbf8f (framework/ai_readiness_framework.json, generated_from docs/crosswalk/usafacts_operationalization_skeleton.md); cycle of record scan_2026-09-10_rj4. Do not edit: re-run the generator.
code,criterion,construct,indicator,type,measurement_tier,measurement_basis,rule,rule_built,access_tier,status,mark,departure,kept_verbatim_or_restated
C1,C,Retrieval-grounded QA accuracy,Benchmark question set per product; answer accuracy of a retrieval-paired model vs published values,EVAL,M,evaluation,none,no,paid,draft,added (operationalizes C ACCURATE),,restated
C2,C,Faithfulness of AI restatement,"Entailment-judged: do model statements about the product entail from product text? (probe protocol, re-aimed)",EVAL,M,evaluation,none,no,paid,draft,added (operationalizes C ACCURATE),,restated
C3,C,Value-drift resistance,Version/vintage disambiguation: does retrieval return the vintage asked for?,EVAL,M,evaluation,none,no,paid,draft,added (operationalizes C ACCURATE),,restated
C4,C,Citation quality,Generative engines citing the product cite the authoritative page (not aggregators),EVAL/AUTO,M,evaluation,none,no,public,draft,added (operationalizes C ACCURATE),,restated
C5,C,Readiness metrics baseline,Product scored against published AI-data-readiness metrics,DOC,O,open_tool,none,no,agency_instrumented,draft,added (operationalizes C ACCURATE),,restated
D1,D,License clarity,Explicit machine-readable license/terms on product and API,AUTO,M,harness_leg,RULE-D1-v3,yes,public,draft,added (operationalizes D OPEN),,restated
D2,D,Reuse permissions for AI,Terms address model training/retrieval use explicitly,DOC,M,harness_leg,RULE-D2-v1,yes,agency_instrumented,draft,added (operationalizes D OPEN),,restated
D3,D,Provenance completeness,Source lineage published (collection → processing → product),DOC,M,harness_leg,RULE-D3-v1,yes,agency_instrumented,draft,added (operationalizes D OPEN),,restated
D4,D,No dark data,Statutory products enumerable from a public inventory (data.gov/agency inventory current),AUTO,M,harness_leg,RULE-D4-v3,yes,public,draft,added (operationalizes D OPEN),,restated
E1,E,Verification vs validation split,Product spec conformance (AUTO/DOC set) reported separately from fit-for-use evals (EVAL set); a product cannot pass validation while failing verification,DOC,M,judged_reading,none,no,agency_instrumented,draft,"added (criterion E, skeleton line 88: 5b. Cross-cutting — the TEVV loop (the framework's structural gap; operator feedback already delivered to USAFacts))",,n/a (added criterion)
E2,E,Acceptance thresholds,"Published pass/fail thresholds per eval, pre-registered before results; threshold changes are versioned events",DOC,D,declaration,none,no,agency_instrumented,draft,"added (criterion E, skeleton line 88: 5b. Cross-cutting — the TEVV loop (the framework's structural gap; operator feedback already delivered to USAFacts))",,n/a (added criterion)
E3,E,Instrument versioning,Eval sets and rubrics carry versions; results never pooled across versions,DOC,M,judged_reading,none,no,agency_instrumented,draft,"added (criterion E, skeleton line 88: 5b. Cross-cutting — the TEVV loop (the framework's structural gap; operator feedback already delivered to USAFacts))",,n/a (added criterion)
E4,E,Contamination policy,Public eval sets have a held-out rotation; publication schedule assumes training-set leakage within one model generation,DOC,D,declaration,none,no,agency_instrumented,draft,"added (criterion E, skeleton line 88: 5b. Cross-cutting — the TEVV loop (the framework's structural gap; operator feedback already delivered to USAFacts))",,n/a (added criterion)
E5,E,Positive controls,"Seeded known-bad items (canaries/decoys) in every continuous-eval cycle; a cycle with zero fired controls is INVALID, not passing",AUTO,M,harness_leg,RULE-E5-v2,yes,public,draft,"added (criterion E, skeleton line 88: 5b. Cross-cutting — the TEVV loop (the framework's structural gap; operator feedback already delivered to USAFacts))",,n/a (added criterion)
E6,E,Failure attribution,Discrepancy taxonomy localizing failures to retrieval / vintage / metadata / model; each stage instrumented,EVAL,M,evaluation,none,no,paid,draft,"added (criterion E, skeleton line 88: 5b. Cross-cutting — the TEVV loop (the framework's structural gap; operator feedback already delivered to USAFacts))",,n/a (added criterion)
E7,E,Corrective-action closure,"Documented path from failed eval back into the data product (metadata fix, vintage pointer, dictionary entry) with re-test; mean-time-to-closure tracked",DOC,D,declaration,none,no,agency_instrumented,draft,"added (criterion E, skeleton line 88: 5b. Cross-cutting — the TEVV loop (the framework's structural gap; operator feedback already delivered to USAFacts))",,n/a (added criterion)
E8,E,Drift sentinels (golden questions),"Versioned golden question/answer sets re-run on schedule against the product surface; baseline deltas alarmed; state fidelity across product versions measured, not assumed",AUTO/EVAL,M,evaluation,none,no,paid,draft,"added (criterion E, skeleton line 88: 5b. Cross-cutting — the TEVV loop (the framework's structural gap; operator feedback already delivered to USAFacts))",,n/a (added criterion)
E9,E,Adversarial evaluation (red team),"Standing adversarial bank: vintage traps, confusable series, unit traps, DP-noise misreads, suppression probes; plus surface red team — misparse and injection resistance of pages/markup/llms.txt. Reported as break modes, not just pass rates",EVAL,M,evaluation,none,no,paid,draft,"added (criterion E, skeleton line 88: 5b. Cross-cutting — the TEVV loop (the framework's structural gap; operator feedback already delivered to USAFacts))","skeleton line 170: 11. **Red teaming (§5b E9)** — delivered feedback: the framework tests what works; it must also enumerate how products break, with a standing adversarial bank.",n/a (added criterion)
F1,F,Pre-release gates,"New releases pass a published expectation suite (schema validity, row/total sanity, identifier persistence) before going live",DOC,D,declaration,none,no,agency_instrumented,draft,"added (criterion F, skeleton line 106: 5c. Cross-cutting — release engineering (CI/CD for data; operator feedback already delivered to USAFacts))",,n/a (added criterion)
F2,F,Contract stability,API/schema changes are versioned; breaking changes announced with deprecation windows; compatibility checked mechanically,AUTO/DOC,O,open_tool,none,no,public,draft,"added (criterion F, skeleton line 106: 5c. Cross-cutting — release engineering (CI/CD for data; operator feedback already delivered to USAFacts))",,n/a (added criterion)
F3,F,Regression on vintage transition,"Time-series identifiers, geography codes, and endpoints survive a new vintage or a crosswalk is published; tested per release",AUTO,O,open_tool,none,no,public,draft,"added (criterion F, skeleton line 106: 5c. Cross-cutting — release engineering (CI/CD for data; operator feedback already delivered to USAFacts))",,n/a (added criterion)
F4,F,Change legibility,"Machine-readable changelog per release (what changed, why, revision class); webhooks/push for high-frequency products",AUTO,M,harness_leg,RULE-F4-v3,yes,public,draft,"added (criterion F, skeleton line 106: 5c. Cross-cutting — release engineering (CI/CD for data; operator feedback already delivered to USAFacts))",,n/a (added criterion)
F5,F,Staged rollout,Canary/staging surface for major product changes; AI-consumer regression run before promotion,DOC,D,declaration,none,no,agency_instrumented,draft,"added (criterion F, skeleton line 106: 5c. Cross-cutting — release engineering (CI/CD for data; operator feedback already delivered to USAFacts))",,n/a (added criterion)
F6,F,Release authenticity,"Signed releases / provenance attestations so downstream copies are traceable to the authoritative artifact (SLSA-class, adapted)",AUTO,O,open_tool,none,no,paid,`paid`-tier candidate,"added (criterion F, skeleton line 106: 5c. Cross-cutting — release engineering (CI/CD for data; operator feedback already delivered to USAFacts))",,n/a (added criterion)
G1-D,G,"Uncertainty legibility (two legs, scored as a vector)","**G1-D (declared)** — error measures (MOEs, CVs, DP noise parameters) present as structured fields beside the estimates on the product surface, not as footnotes (`assessment/harness/probes/g1_declared.py`); unchanged.",AUTO,M,harness_leg,RULE-G1-D-v1,yes,public,"v2 harness, frozen for the pilot (DD-036)","added (criterion G, skeleton line 119: 5d. FSS-derived constructs — generalizable beyond the statistical system)","skeleton line 167: 8. **Uncertainty legibility (§5d G1)** — in their guide, error and noise appear only as privacy safeguards (DP, suppression); no framework treats uncertainty as something the AI consumer must *preserve*. G1 supplies that: structured error measures (G1-D) plus an eval of whether AI restatements keep them (G1-O). || record `ind:G1-D.construct_restated`: uncertainty present for the human reader and absent from the markup || record `ind:G1-D.withdrawn_from`: host-level",n/a (added criterion)
G1-O,G,"Uncertainty legibility (two legs, scored as a vector)","**G1-O (observed)** — the family preservation rate (the L3+ share of scored qualifier families, D9) when the pinned consumer restates that same captured surface at indirect compression `none`, reported per surface with the `unparseable` share and the `short` / `tight` rates beside it, every record stamped with consumer, prompt epoch, `parser_version` and `scorer_version` (`g1_preservation.py`). The two legs are reported as a vector and are never composited (protocol §3). **No product-level PASS/PARTIAL/FAIL in v0.2.x:** the rate and its Wilson interval are the score until the January calibration run sets a boundary. Compression is a reported condition, not a scored one, until intended use says which condition the consumer of the assessment cares about",EVAL,M,judged_reading,none,no,paid,"v2 harness, frozen for the pilot (DD-036)","added (criterion G, skeleton line 119: 5d. FSS-derived constructs — generalizable beyond the statistical system)","skeleton line 167: 8. **Uncertainty legibility (§5d G1)** — in their guide, error and noise appear only as privacy safeguards (DP, suppression); no framework treats uncertainty as something the AI consumer must *preserve*. G1 supplies that: structured error measures (G1-D) plus an eval of whether AI restatements keep them (G1-O).",n/a (added criterion)
G2,G,Revision semantics,"Revision status machine-readable per value (preliminary/revised/final/benchmark), with scheduled-revision dates; EVAL: vintage disambiguation (ties C3)",DOC + EVAL,M,evaluation,none,no,agency_instrumented,draft,"added (criterion G, skeleton line 119: 5d. FSS-derived constructs — generalizable beyond the statistical system)",,n/a (added criterion)
G3,G,Classification/vintage identity,"Stable series IDs; machine-readable crosswalks when classifications or geographies change (industry codes, boundary revisions)",AUTO/DOC,unassigned,,none,no,public,draft,"added (criterion G, skeleton line 119: 5d. FSS-derived constructs — generalizable beyond the statistical system)",,n/a (added criterion)
G4,G,Authority metadata,"The issuing authority of a data product is carried as machine-readable metadata on the product, in the fields DCAT-US defines (`publisher`, `bureauCode`, `programCode`)",DOC,M,harness_leg,RULE-G4-v1,yes,agency_instrumented,draft,"added (criterion G, skeleton line 119: 5d. FSS-derived constructs — generalizable beyond the statistical system)",,n/a (added criterion)
G5,G,Disclosure semantics,Suppression and disclosure-avoidance documented machine-readably with unique identifiers (strengthens the guide's own bullet from prose to spec),DOC,unassigned,,none,no,agency_instrumented,draft,"added (criterion G, skeleton line 119: 5d. FSS-derived constructs — generalizable beyond the statistical system)",,n/a (added criterion)
G6,G,Measurement-protocol provenance,Collection instrument/protocol carried as a versioned epoch on the series; changes annotated machine-readably with reason and inter-epoch crosswalk (SDMX break-in-series class metadata). The consumer-side test: an AI system asked to compare values across a break must surface the break,DOC + EVAL,M,judged_reading,none,no,agency_instrumented,draft,"added (criterion G, skeleton line 119: 5d. FSS-derived constructs — generalizable beyond the statistical system)",skeleton line 169: 10. **Protocol as contract (§5d G6)** — delivered feedback: measurement-protocol epochs with machine-readable breaks and reasons; SDMX + ODCS give it standards footing.,n/a (added criterion)
